frequency,tmag,tphase
1,-0.0283231502,-0.000119739285
1.12201845,-0.0283231502,-0.000134349688
1.25892541,-0.0283231502,-0.000150742829
1.41253754,-0.0283231502,-0.000169136236
1.58489319,-0.0283231502,-0.000189773978
1.77827941,-0.0283231502,-0.000212929905
1.99526231,-0.0283231503,-0.000238911283
2.23872114,-0.0283231503,-0.000268062869
2.51188643,-0.0283231503,-0.000300771485
2.81838293,-0.0283231503,-0.000337471157
3.16227766,-0.0283231504,-0.000378648866
3.54813389,-0.0283231504,-0.000424851016
3.98107171,-0.0283231505,-0.00047669068
4.46683592,-0.0283231505,-0.00053485574
5.01187234,-0.0283231506,-0.00060011801
5.62341325,-0.0283231507,-0.000673343482
6.30957344,-0.0283231509,-0.000755503813
7.07945784,-0.0283231511,-0.000847689221
7.94328235,-0.0283231513,-0.000951122949
8.91250938,-0.0283231516,-0.0010671775
10,-0.0283231519,-0.00119739285
11.2201845,-0.0283231524,-0.00134349688
12.5892541,-0.028323153,-0.00150742829
14.1253754,-0.0283231537,-0.00169136236
15.8489319,-0.0283231546,-0.00189773978
17.7827941,-0.0283231557,-0.00212929905
19.9526231,-0.0283231572,-0.00238911283
22.3872114,-0.028323159,-0.00268062868
25.1188643,-0.0283231612,-0.00300771485
28.1838293,-0.0283231641,-0.00337471157
31.6227766,-0.0283231677,-0.00378648866
35.4813389,-0.0283231722,-0.00424851015
39.8107171,-0.0283231779,-0.00476690679
44.6683592,-0.0283231851,-0.00534855738
50.1187234,-0.0283231942,-0.00600118008
56.2341325,-0.0283232055,-0.0067334348
63.0957344,-0.0283232199,-0.00755503809
70.7945784,-0.0283232379,-0.00847689215
79.4328235,-0.0283232606,-0.00951122941
89.1250938,-0.0283232892,-0.0106717749
100,-0.0283233252,-0.0119739284
112.201845,-0.0283233705,-0.0134349685
125.892541,-0.0283234276,-0.0150742826
141.253754,-0.0283234994,-0.0169136231
158.489319,-0.0283235898,-0.0189773972
177.827941,-0.0283237037,-0.0212929897
199.526231,-0.028323847,-0.0238911271
223.872114,-0.0283240274,-0.0268062851
251.188643,-0.0283242545,-0.0300771461
281.838293,-0.0283245405,-0.0337471123
316.227766,-0.0283249004,-0.0378648817
354.813389,-0.0283253536,-0.0424850947
398.107171,-0.0283259241,-0.0476690583
446.683592,-0.0283266424,-0.0534855602
501.187234,-0.0283275466,-0.0600117816
562.341325,-0.028328685,-0.0673343208
630.957344,-0.0283301181,-0.0755503426
707.945784,-0.0283319222,-0.0847688674
794.328235,-0.0283341935,-0.0951122177
891.250938,-0.0283370529,-0.106717641
1000,-0.0283406527,-0.119739131
1122.01845,-0.0283451845,-0.13434947
1258.92541,-0.0283508897,-0.150742521
1412.53754,-0.0283580722,-0.169135801
1584.89319,-0.0283671143,-0.189773364
1778.27941,-0.0283785266,-0.212929038
1995.26231,-0.0283928569,-0.238910058
2238.72114,-0.028410898,-0.268061138
2511.88643,-0.0284336105,-0.300769042
2818.38293,-0.0284622036,-0.337467706
3162.27766,-0.02849821,-0.378643991
3548.13389,-0.0285435249,-0.424844129
3981.07171,-0.0286006039,-0.476680951
4466.83592,-0.028672423,-0.534841999
5011.87234,-0.0287628449,-0.600098601
5623.41325,-0.0288766959,-0.673316066
6309.57344,-0.0290200236,-0.75546509
7079.45784,-0.0292004147,-0.847634526
7943.28235,-0.0294275291,-0.951045692
8912.50938,-0.0297134545,-1.06706837
10000,-0.0300733467,-1.19723871
11220.1845,-0.0305264298,-1.34327916
12589.2541,-0.0310967111,-1.50712078
14125.3754,-0.0318145856,-1.69092804
15848.9319,-0.0327181368,-1.89712636
17782.7941,-0.0338553842,-2.12843272
19952.6231,-0.0352866759,-2.38788934
22387.2114,-0.0370878881,-2.67890089
25118.8643,-0.0393544571,-3.00527503
28183.8293,-0.042206176,-3.3712666
31622.7766,-0.0457936502,-3.78162491
35481.3389,-0.0503058308,-4.2416442
39810.7171,-0.0559796589,-4.75721598
44668.3592,-0.0631121209,-5.33488222
50118.7234,-0.0720747973,-5.98188729
56234.1325,-0.0833319528,-6.70622537
63095.7344,-0.0974626624,-7.51667878
70794.5784,-0.115187261,-8.42284089
79432.8235,-0.13739917,-9.43511443
89125.0938,-0.165202303,-10.5646731
100000,-0.199953982,-11.8233708
112201.845,-0.243313327,-13.223578
125892.541,-0.297293189,-14.7779212
141253.754,-0.364312698,-16.4988987
158489.319,-0.447245784,-18.3983437
177827.941,-0.549457493,-20.4867135
199526.231,-0.674817474,-22.7721949
223872.114,-0.827677357,-25.2596437
251188.643,-1.01279625,-27.9494174
281838.293,-1.23520086,-30.8362125
316227.766,-1.4999721,-33.9080819
354813.389,-1.8119613,-37.1458526
398107.171,-2.17545697,-40.5231685
446683.592,-2.59384071,-44.0073359
501187.234,-3.06928502,-47.5610142
562341.325,-3.60254899,-51.1446172
630957.344,-4.19291283,-54.7191179
707945.784,-4.8382669,-58.248839
794328.235,-5.53533762,-61.7038172
891250.938,-6.2800069,-65.0614494
1000000,-7.06767038,-68.3073011
1122018.45,-7.89358281,-71.4351432
1258925.41,-8.7531548,-74.4463945
1412537.54,-9.64218252,-77.3492057
1584893.19,-10.5570105,-80.157401
1778279.41,-11.4946381,-82.8894508
1995262.31,-12.4527861,-85.5675852
2238721.14,-13.4299432,-88.2171084
2511886.43,-14.4254089,-90.8659317
2818382.93,-15.439352,-93.5443248
3162277.66,-16.4729015,-96.284861
3548133.89,-17.5282874,-99.1225361
3981071.71,-18.6090569,-102.095024
4466835.92,-19.7203955,-105.243016
5011872.34,-20.8695951,-108.610575
5623413.25,-22.0667302,-112.245355
6309573.44,-23.3256263,-116.198494
7079457.84,-24.6652481,-120.523873
7943282.35,-26.1117085,-125.276415
8912509.38,-27.7012729,-130.509143
10000000,-29.4851313,-136.269062
11220184.5,-31.5377389,-142.59287
12589254.1,-33.9733896,-149.50611
14125375.4,-36.9848811,-157.038704
15848931.9,-40.9552763,-165.313512
17782794.1,-46.9132398,-175.106573
19952623.1,-60.8395729,-200.077997
22387211.4,-53.8897346,-356.476951
25118864.3,-47.8219698,-368.185201
28183829.3,-45.3078205,-375.584143
31622776.6,-44.1040568,-381.409231
35481338.9,-43.5765378,-386.058365
39810717.1,-43.4406219,-389.703589
44668359.2,-43.5399112,-392.508394
50118723.4,-43.7820771,-394.649984
56234132.5,-44.1134547,-396.29905
63095734.4,-44.5050985,-397.59413
70794578.4,-44.9429097,-398.626086
79432823.5,-45.4202427,-399.436946
89125093.8,-45.932846,-400.029683
100000000,-46.47594,-400.382796
112201845,-47.0429459,-400.464681
125892541,-47.6252935,-400.245207
141253754,-48.2128365,-399.703831
158489319,-48.7945699,-398.834518
177827941,-49.3594646,-397.647927
199526231,-49.8973054,-396.171241
223872114,-50.3994344,-394.445972
251188643,-50.8593086,-392.524158
281838293,-51.2728009,-390.463572
316227766,-51.6382162,-388.322735
354813389,-51.9560499,-386.156506
398107171,-52.2285645,-384.012795
446683592,-52.4592803,-381.930667
501187234,-52.6524694,-379.939733
562341325,-52.8127178,-378.06057
630957344,-52.9445875,-376.305798
707945784,-53.0523833,-374.681469
794328235,-53.1400145,-373.188523
891250938,-53.2109288,-371.824135
1000000000,-53.2681004,-370.582863
1122018450,-53.3140499,-369.457584
1258925410,-53.3508852,-368.440212
1412537540,-53.3803496,-367.522224
1584893190,-53.403873,-366.695044
1778279410,-53.4226198,-365.950294
1995262310,-53.4375333,-365.279961
2238721140,-53.4493739,-364.676495
2511886430,-53.4587521,-364.132854
2818382930,-53.4661568,-363.642526
3162277660,-53.4719781,-363.199514
3548133890,-53.4765265,-362.798319
3981071710,-53.4800489,-362.433904
4466835920,-53.4827415,-362.101657
5011872340,-53.48476,-361.797346
5623413250,-53.4862282,-361.517077
6309573440,-53.4872443,-361.257243
7079457840,-53.4878857,-361.014482
7943282350,-53.4882122,-360.785632
8912509380,-53.4882682,-360.567689
10000000000,-53.4880832,-360.357769
11220184500,-53.4876727,-360.153076
12589254100,-53.4870374,-359.950868
14125375400,-53.4861627,-359.748434
15848931900,-53.4850182,-359.54306
17782794100,-53.4835554,-359.332008
19952623100,-53.4817068,-359.112482
22387211400,-53.4793818,-358.881603
25118864300,-53.4764635,-358.636379
28183829300,-53.4728027,-358.373678
31622776600,-53.4682114,-358.090201
35481338900,-53.4624537,-357.782467
39810717100,-53.4552346,-357.446789
44668359200,-53.4461863,-357.079278
50118723400,-53.4348521,-356.675853
56234132500,-53.4206654,-356.232269
63095734400,-53.4029272,-355.744188
70794578400,-53.3807786,-355.207279
79432823500,-53.3531707,-354.617391
89125093800,-53.3188334,-353.970794
100000000000,-53.276244,-353.264523
112201845000,-53.2236014,-352.49685
125892541000,-53.1588119,-351.667892
141253754000,-53.0794954,-350.780386
158489319000,-52.9830262,-349.840605
177827941000,-52.8666226,-348.859383
199526231000,-52.7275034,-347.853145
223872114000,-52.5631236,-346.844773
251188643000,-52.3714955,-345.864059
281838293000,-52.151581,-344.947439
316227766000,-51.9037161,-344.136691
354813389000,-51.63,-343.476389
398107171000,-51.3345569,-343.010125
446683592000,-51.0235752,-342.775833
501187234000,-50.7050577,-342.800887
562341325000,-50.388269,-343.097884
630957344000,-50.082941,-343.661987
707945784000,-49.7983594,-344.47044
794328235000,-49.542483,-345.484383
891250938000,-49.3212354,-346.65263
1000000000000,-49.1380593,-347.916706
